#;Summary;Description;Countries;Issue Type;Component Names;Labels;Assignee Name;Test Type;Test Repository Folder
1;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 1 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""1"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""1"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
2;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 2 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""5"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""5"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
3;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 3 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""4"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""4"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
4;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 4 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""8"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""8"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
5;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 5 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""9"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""9"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
6;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 6 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""10"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""10"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
7;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 7 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""11"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""11"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
8;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 8 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""31"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""31"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
9;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 9 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""32"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""32"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
10;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 10 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""37"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""37"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
11;Create property scenarios in Expert=> Verify create&update sale property works as expected: Example = 11 ;"Feature: Create property scenarios in Expert
  Scenario Outline: Verify create&update sale property works as expected
    Given I generate token for Expert ""eg""
    When I send POST request with ""expertApi"" for creating sale property ""residential"" ""58"" ""eg"" ""null""
    Then I validate status code is 201
    When I send GET request for property by id ""null""
    Then I validate status code is 200
    And I verify response with property details
    When I update sale property with ""expertApi"" ""58"" ""updated title - API AUTOMATION"" ""eg"" ""null""
    Then I verify response is updated ""updated title - API AUTOMATION"" in ""eg""";AE;Test;Alpha;Automated_FE;Mehmet Kadri Efe;Cucumber;PF-Website/Baseline/Front-End/Partners
